dataset,comparison_type,comparison,metric,mean_treatment,mean_baseline,delta,delta_pct,ci_low,ci_high,p_two_sided,wilcoxon_p,sign_test_p,n_positive,n_negative,n_zero,n_seed_clusters,n_episode_pairs,cluster_unit,direction,claim_support,bh_p,bh_reject_05
industry,placement_vs_feature_only,GraphSignal-ICL minus GraphSignal-ICL-NoPenalty,principal_payoff,0.0618862381384386,0.06977413834357017,-0.007887900205131578,-0.11304905215995999,-0.008565663934709977,-0.0071625543097697374,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,higher_is_better,supports_baseline,0.0031960227272727275,True
industry,placement_vs_feature_only,GraphSignal-ICL minus GraphSignal-ICL-NoPenalty,principal_CVaR95_loss_episode,1.475627780553193,1.4830978375647152,-0.007470057011522048,-0.0050367931381944675,-0.009628014491860102,-0.00540184351610162,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,placement_vs_feature_only,GraphSignal-ICL minus GraphSignal-ICL-NoPenalty,crowding,2.2411555697368417,2.287685236096491,-0.04652966635964912,-0.020339190735445316,-0.05104309364692982,-0.0423712433366228,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,placement_vs_feature_only,GraphSignal-ICL minus GraphSignal-ICL-NoPenalty,co_crash,0.1056578947368421,0.10795614035087718,-0.002298245614035088,-0.021288697489036574,-0.0025701754385964912,-0.00206140350877193,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,placement_vs_feature_only,GraphSignal-ICL minus GraphSignal-ICL-NoPenalty,mean_effort,0.04011312074912281,0.04011749770219298,-4.376953070175433e-06,-0.00010910334195213448,-3.8383353497806915e-05,2.4444966611842036e-05,0.794,1.0,0.75390625,6,4,0,10,2280,seed,higher_is_better,mixed_or_not_significant,1.0,False
industry,placement_vs_feature_only,GraphSignal-ICL minus GraphSignal-ICL-NoPenalty,mean_systematic_exposure,0.9861409149824562,0.9977966760789474,-0.011655761096491229,-0.011681499223151676,-0.012666768433442985,-0.010767275266885966,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,placement_vs_raw_node,GraphSignal-ICL minus RawNodeMLP_GLS_NoGraph_HardEffort,principal_payoff,0.0618862381384386,0.06971228836322807,-0.007826050224789475,-0.1122621335265951,-0.008489719719082458,-0.007218044627320286,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,higher_is_better,supports_baseline,0.0031960227272727275,True
industry,placement_vs_raw_node,GraphSignal-ICL minus RawNodeMLP_GLS_NoGraph_HardEffort,principal_CVaR95_loss_episode,1.475627780553193,1.4843996147053284,-0.008771834152135241,-0.005909348173652448,-0.010853759950212045,-0.0068208995715262994,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,placement_vs_raw_node,GraphSignal-ICL minus RawNodeMLP_GLS_NoGraph_HardEffort,crowding,2.2411555697368417,2.2876927847807016,-0.046537215043859645,-0.020342423315506657,-0.05111776028070175,-0.04240567236842104,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,placement_vs_raw_node,GraphSignal-ICL minus RawNodeMLP_GLS_NoGraph_HardEffort,co_crash,0.1056578947368421,0.10796491228070175,-0.0023070175438596493,-0.02136821579440722,-0.0025964912280701754,-0.00206140350877193,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,placement_vs_raw_node,GraphSignal-ICL minus RawNodeMLP_GLS_NoGraph_HardEffort,mean_effort,0.04011312074912281,0.040129056728947364,-1.5935979824561364e-05,-0.00039711822612238776,-6.0979785010964876e-05,2.6682075307017593e-05,0.4752,0.625,0.75390625,4,6,0,10,2280,seed,higher_is_better,mixed_or_not_significant,0.6428571428571429,False
industry,placement_vs_raw_node,GraphSignal-ICL minus RawNodeMLP_GLS_NoGraph_HardEffort,mean_systematic_exposure,0.9861409149824562,0.9977979429254387,-0.011657027942982456,-0.011682754034142016,-0.012611559542763157,-0.010772164683004388,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,principal_payoff,0.0618862381384386,0.06649605175363156,-0.004609813615192982,-0.06932462144072939,-0.005146326058870615,-0.00408285520144726,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,higher_is_better,supports_baseline,0.0031960227272727275,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,principal_CVaR95_loss_episode,1.475627780553193,1.4678782844839737,0.0077494960692193774,0.005279386003001195,0.006103160912987955,0.009497577189222759,0.0,0.001953125,0.001953125,10,0,0,10,2280,seed,lower_is_better,supports_baseline,0.0031960227272727275,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,crowding,2.2411555697368417,2.2601572075877194,-0.019001637850877197,-0.008407219545205602,-0.02235053542982456,-0.01585415798245614,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,co_crash,0.1056578947368421,0.1062982456140351,-0.0006403508771929826,-0.006024096385485497,-0.0009298245614035089,-0.00035964912280701756,0.0,0.00390625,0.021484375,1,9,0,10,2280,seed,lower_is_better,supports_treatment,0.005408653846153846,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,mean_effort,0.04011312074912281,0.040053603294298246,5.951745482456138e-05,0.0014859450817886323,2.639033304824569e-05,9.531560607456131e-05,0.0,0.013671875,0.109375,8,2,0,10,2280,seed,higher_is_better,supports_treatment,0.017578125,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,mean_systematic_exposure,0.9861409149824562,0.9895071106622808,-0.0033661956798245614,-0.003401891349288185,-0.004120777143750001,-0.002691692356907896,0.0,0.001953125,0.001953125,0,10,0,10,2280,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,principal_payoff,0.013833758948974026,0.015499867144125974,-0.0016661081951519485,-0.1074917726424427,-0.003491046069324675,-0.00010452783929970833,0.034,0.130859375,0.75390625,4,6,0,10,770,seed,higher_is_better,supports_baseline,0.15196572580645162,False
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,principal_CVaR95_loss_episode,0.6428062750857114,0.6501068727988184,-0.007300597713107154,-0.01122984238216962,-0.0078659291284812,-0.006625925645038675,0.0,0.001953125,0.001953125,0,10,0,10,770,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,crowding,0.984652731974026,0.9966787164025974,-0.012025984428571418,-0.012066059233175786,-0.015376509632792199,-0.00901568528571427,0.0,0.001953125,0.001953125,0,10,0,10,770,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,co_crash,0.17451948051948052,0.17563636363636362,-0.0011168831168831166,-0.0063590653652403385,-0.0019740259740259735,-0.0005194805194805195,0.0,0.00390625,0.00390625,0,9,1,10,770,seed,lower_is_better,supports_treatment,0.005408653846153846,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,mean_effort,0.04006838459350649,0.040055885961038956,1.2498632467532514e-05,0.000312029859466284,-9.359216168831035e-06,3.3487345811688285e-05,0.2648,0.431640625,0.34375,7,3,0,10,770,seed,higher_is_better,mixed_or_not_significant,0.45703125,False
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,mean_systematic_exposure,0.9886373554805195,1.0022392329870131,-0.013601877506493509,-0.013571487783352607,-0.01564737580389611,-0.011652869737662348,0.0,0.001953125,0.001953125,0,10,0,10,770,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,principal_payoff,0.013833758948974026,0.015516060181718179,-0.0016823012327441557,-0.10842322167697611,-0.0033992341825048703,-0.00011654525764578008,0.0332,0.130859375,0.75390625,4,6,0,10,770,seed,higher_is_better,supports_baseline,0.15196572580645162,False
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,principal_CVaR95_loss_episode,0.6428062750857114,0.6500270472008944,-0.007220772115183084,-0.01110841794393881,-0.007855826262304019,-0.006566833409750877,0.0,0.001953125,0.001953125,0,10,0,10,770,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,crowding,0.984652731974026,0.9966785831558441,-0.012025851181818176,-0.012065927155500748,-0.015253108919805186,-0.009031319809740252,0.0,0.001953125,0.001953125,0,10,0,10,770,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,co_crash,0.17451948051948052,0.17563636363636362,-0.0011168831168831166,-0.0063590653652403385,-0.0019740259740259735,-0.0005194805194805194,0.0,0.00390625,0.00390625,0,9,1,10,770,seed,lower_is_better,supports_treatment,0.005408653846153846,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,mean_effort,0.04006838459350649,0.040048827246753245,1.9557346753246768e-05,0.0004883375643501257,9.306341558441475e-06,2.941177821428556e-05,0.0,0.013671875,0.109375,8,2,0,10,770,seed,higher_is_better,supports_treatment,0.017578125,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,mean_systematic_exposure,0.9886373554805195,1.0022390823896103,-0.013601726909090912,-0.013571339561661401,-0.01565401845032468,-0.011659759738961046,0.0,0.001953125,0.001953125,0,10,0,10,770,seed,lower_is_better,supports_treatment,0.0031960227272727275,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,principal_payoff,0.013833758948974026,0.023787738398961037,-0.009953979449987013,-0.4184500133061543,-0.012141845384553897,-0.008144970196265911,0.0,0.001953125,0.001953125,0,10,0,10,770,seed,higher_is_better,supports_baseline,0.0031960227272727275,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,principal_CVaR95_loss_episode,0.6428062750857114,0.6352682763299384,0.007537998755772912,0.011865851068952238,0.005968722420305146,0.0090090014590394,0.0,0.001953125,0.001953125,10,0,0,10,770,seed,lower_is_better,supports_baseline,0.0031960227272727275,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,crowding,0.984652731974026,0.9867708351168831,-0.0021181031428571403,-0.002146499539180345,-0.005059098786688313,0.00011014069448052239,0.068,0.232421875,0.75390625,4,6,0,10,770,seed,lower_is_better,mixed_or_not_significant,0.261474609375,False
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,co_crash,0.17451948051948052,0.1741038961038961,0.00041558441558441566,0.0023869908995834857,-0.00015584415584415565,0.0009090909090909089,0.1312,0.25,0.1796875,7,2,1,10,770,seed,lower_is_better,mixed_or_not_significant,0.2727272727272727,False
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,mean_effort,0.04006838459350649,0.040045983116883115,2.2401476623376798e-05,0.0005593938487521634,5.9010168181821194e-06,3.942066097402609e-05,0.006,0.064453125,0.34375,7,3,0,10,770,seed,higher_is_better,supports_treatment,0.08001077586206896,False
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,mean_systematic_exposure,0.9886373554805195,0.9836954648441558,0.004941890636363638,0.00502380138261748,0.003072201395779221,0.00673516440974026,0.0,0.00390625,0.021484375,9,1,0,10,770,seed,lower_is_better,supports_baseline,0.005408653846153846,True
